productHandle,status,content,rating,photoUrl,name,country,email,created_at
gold-oversized-shirts-for-men-and-women,,The green color oversized t-shirt is a refreshing change from the usual neutrals. Love the pop of color.,5,,Arjun Gupta,India,arjungupta*QRS.com,2024-04-18
,,Love the oversized white t-shirt! It's so comfortable and stylish. Definitely a must-have in my wardrobe.,5,,Aarav Bansal,India,aarav****@gmail.com,2023-12-15
,,The oversized shirt fits perfectly. Great quality and looks exactly as shown in the picture.,4,,Priya Singh,India,priya****@yahoo.com,2024-01-20
,,"Bought the black oversized t-shirt and it's my new favorite! So versatile, can be dressed up or down.",5,,Rohan Patel,India,rohan****@outlook.com,2023-12-29
,,Loving the pink oversized t-shirt! The material is soft and the fit is just right.,5,,Isha Sharma,India,isha****@gmail.com,2024-02-10
,,The brown oversized t-shirt is so comfortable to wear. I really like the relaxed fit.,4,,Arjun Mehta,India,arjun****@gmail.com,2024-03-05
,,The blue oversized shirt looks super cool! Great for a casual day out.,4,,Neha Verma,India,neha****@yahoo.com,2024-02-18
,,Purchased the grey oversized t-shirt and it's so cozy. Perfect for lounging at home.,5,,Vivan Gupta,India,vivan****@outlook.com,2023-12-18
,,The off white oversized t-shirt is great for layering. Love the oversized look!,4,,Dia Reddy,India,dia****@gmail.com,2024-01-30
,,The white t-shirt for women is so versatile. Can be styled in many different ways.,5,,Aryan Malhotra,India,aryan****@yahoo.com,2024-03-15
,,Really like the baggy oversized shirt! Gives a relaxed and chic vibe.,4,,Anika Kapoor,India,anika****@hotmail.com,2024-02-25
,,The oversized white t-shirt is a wardrobe staple! Goes well with everything.,5,,Kabir Singh,India,kabir****@gmail.com,2024-03-10
,,Bought the pink oversized shirt and it's so chic. Perfect for a day out with friends.,5,,Prisha Chatterjee,India,prisha****@yahoo.com,2024-01-05
,,The Korean oversized shirt is a unique piece. Love the design and fit.,4,,Yuvraj Rao,India,yuvraj****@outlook.com,2024-04-02
,,The oversized beach t-shirt is perfect for summer days. Breathable and stylish.,4,,Naina Tiwari,India,naina****@gmail.com,2024-02-15
,,The yellow oversized t-shirt is so vibrant. Adds a pop of color to my wardrobe.,5,,Amit Khanna,India,amit****@yahoo.com,2023-12-22
,,The cream oversized t-shirt is a classic piece. Timeless and comfortable.,5,,Kriti Pandey,India,kriti****@outlook.com,2024-03-20
,,The drop shoulder oversized shirt is edgy and stylish. Love the unique silhouette.,4,,Dev Joshi,India,dev****@gmail.com,2024-02-05
,,The green oversized t-shirt is a refreshing color choice. Great for spring.,4,,Ishita Bhatia,India,ishita****@yahoo.com,2024-01-10
